id,lat_x,lon_x,lat_y,lon_y,point1,point2,distance,lanes,width,dist_ –æ“π‡µ’È¬_p1,dist_ –æ“π‡µ’È¬_p2,dist_ Õßæ√– ’Ëæ√–¬“_p1,dist_ Õßæ√– ’Ëæ√–¬“_p2,dist_«‘™ “¡¬Ë“π_p1,dist_«‘™ “¡¬Ë“π_p2,dist_∂ππ∑√—æ¬Ï_p1,dist_∂ππ∑√—æ¬Ï_p2,dist_π‡√»_p1,dist_π‡√»_p2,dist_ª“°´Õ¬æÿ∑∏‚Õ ∂_p1,dist_ª“°´Õ¬æÿ∑∏‚Õ ∂_p2,dist_Red_Planet_Hotel_p1,dist_Red_Planet_Hotel_p2
0.0,13.7313484,100.5222772,13.7313574,100.5223242,p41,p280,5.174497700807863,3,21,179.86577779478014,174.69144189804152,13.606468908334817,15.684381703597769,409.38908211649533,404.2145868608956,517.1992302047707,512.1158396648378,210.99434134036096,208.11991617672837,354.4477355922319,352.83833831070876,592.9745698393534,589.1164605711085
0.0,13.7313574,100.5223242,13.7313484,100.5222772,p280,p41,5.174497700807863,3,21,174.69144189804152,179.86577779478014,15.684381703597769,13.606468908334817,404.2145868608956,409.38908211649533,512.1158396648378,517.1992302047707,208.11991617672837,210.99434134036096,352.83833831070876,354.4477355922319,589.1164605711085,592.9745698393534
1.0,13.7313484,100.5222772,13.7315868,100.5222456,p41,p304,26.7277576401496,1,7,179.86577779478014,179.8658652890046,13.606468908334817,14.390222248928715,409.38908211649533,408.4567713660197,517.1992302047707,521.0860897801275,210.99434134036096,232.60083487706146,354.4477355922319,379.3066392733113,592.9745698393534,609.7249976897423
1.0,13.7313484,100.5222772,13.7318485,100.5222129,p41,p219,56.04072490583112,1,7,179.86577779478014,184.16859688944203,13.606468908334817,43.3087549390895,409.38908211649533,409.23026606966545,517.1992302047707,526.6693767536774,210.99434134036096,257.297098295523,354.4477355922319,406.7716784544733,592.9745698393534,628.7302242559255
1.0,13.7313484,100.5222772,13.7320456,100.5222008,p41,p163,77.963207875673,1,7,179.86577779478014,189.02726846636185,13.606468908334817,65.25642255544089,409.38908211649533,409.840563117593,517.1992302047707,530.5630639008139,210.99434134036096,275.7120736585084,354.4477355922319,427.03519022208934,592.9745698393534,642.4608303976834
1.0,13.7315868,100.5222456,13.7313484,100.5222772,p304,p41,26.7277576401496,1,7,179.8658652890046,179.86577779478014,14.390222248928715,13.606468908334817,408.4567713660197,409.38908211649533,521.0860897801275,517.1992302047707,232.60083487706146,210.99434134036096,379.3066392733113,354.4477355922319,609.7249976897423,592.9745698393534
1.0,13.7315868,100.5222456,13.7318485,100.5222129,p304,p219,29.31333646365542,1,7,179.8658652890046,184.16859688944203,14.390222248928715,43.3087549390895,408.4567713660197,409.23026606966545,521.0860897801275,526.6693767536774,232.60083487706146,257.297098295523,379.3066392733113,406.7716784544733,609.7249976897423,628.7302242559255
1.0,13.7315868,100.5222456,13.7320456,100.5222008,p304,p163,51.245298017500666,1,7,179.8658652890046,189.02726846636185,14.390222248928715,65.25642255544089,408.4567713660197,409.840563117593,521.0860897801275,530.5630639008139,232.60083487706146,275.7120736585084,379.3066392733113,427.03519022208934,609.7249976897423,642.4608303976834
1.0,13.7318485,100.5222129,13.7313484,100.5222772,p219,p41,56.04072490583112,1,7,184.16859688944203,179.86577779478014,43.3087549390895,13.606468908334817,409.23026606966545,409.38908211649533,526.6693767536774,517.1992302047707,257.297098295523,210.99434134036096,406.7716784544733,354.4477355922319,628.7302242559255,592.9745698393534
1.0,13.7318485,100.5222129,13.7315868,100.5222456,p219,p304,29.31333646365542,1,7,184.16859688944203,179.8658652890046,43.3087549390895,14.390222248928715,409.23026606966545,408.4567713660197,526.6693767536774,521.0860897801275,257.297098295523,232.60083487706146,406.7716784544733,379.3066392733113,628.7302242559255,609.7249976897423
1.0,13.7318485,100.5222129,13.7320456,100.5222008,p219,p163,21.955487574971816,1,7,184.16859688944203,189.02726846636185,43.3087549390895,65.25642255544089,409.23026606966545,409.840563117593,526.6693767536774,530.5630639008139,257.297098295523,275.7120736585084,406.7716784544733,427.03519022208934,628.7302242559255,642.4608303976834
1.0,13.7320456,100.5222008,13.7313484,100.5222772,p163,p41,77.963207875673,1,7,189.02726846636185,179.86577779478014,65.25642255544089,13.606468908334817,409.840563117593,409.38908211649533,530.5630639008139,517.1992302047707,275.7120736585084,210.99434134036096,427.03519022208934,354.4477355922319,642.4608303976834,592.9745698393534
1.0,13.7320456,100.5222008,13.7315868,100.5222456,p163,p304,51.245298017500666,1,7,189.02726846636185,179.8658652890046,65.25642255544089,14.390222248928715,409.840563117593,408.4567713660197,530.5630639008139,521.0860897801275,275.7120736585084,232.60083487706146,427.03519022208934,379.3066392733113,642.4608303976834,609.7249976897423
1.0,13.7320456,100.5222008,13.7318485,100.5222129,p163,p219,21.955487574971816,1,7,189.02726846636185,184.16859688944203,65.25642255544089,43.3087549390895,409.840563117593,409.23026606966545,530.5630639008139,526.6693767536774,275.7120736585084,257.297098295523,427.03519022208934,406.7716784544733,642.4608303976834,628.7302242559255
2.0,13.7314904,100.5230208,13.7311567,100.5231476,p226,p319,39.55295361544366,4,28,98.01224051398684,100.28122767639091,86.176438065464,105.3172392570802,327.5304660534803,323.68660114088993,437.0231689545764,423.91955766600654,178.10929178081548,138.62260253092472,337.4526254311909,298.0026566072229,534.5230749346688,501.98845145261134
